Timestamp(ms),Current(uA),D0-D7
0,11043.765,11111111
10,11051.895,11111111
20,11043.784,11111111
30,11047.705,11111111
40,11069.608,11111111
50,11584.826,11111111
60,12226.804,11111111
70,11481.581,11111111
80,11261.944,11111111
90,11133.383,11111111
100,11079.385,11111111
110,11047.235,11111111
120,11060.392,11111111
130,11046.676,11111111
140,11057.774,11111111
150,11043.173,11111111
160,11061.242,11111111
170,11064.621,11111111
180,11067.867,11111111
190,11194.340,11111111
200,11217.590,11111111
210,11154.735,11111111
220,11099.263,11111111
230,11084.490,11111111
240,11062.597,11111111
250,11061.440,11111111
260,11041.890,11111111
270,11578.957,11111111
280,12225.758,11111111
290,11642.269,11111111
300,11586.274,11111111
310,11364.983,11111111
320,11184.330,11111111
330,11169.899,11111111
340,11119.106,11111111
350,11102.804,11111111
360,11082.769,11111111
370,11074.629,11111111
380,11069.017,11111111
390,11081.573,11111111
400,11157.752,11111111
410,11106.846,11111111
420,11078.671,11111111
430,11085.046,11111111
440,11089.617,11111111
450,11082.622,11111111
460,11106.523,11111111
470,11071.100,11111111
480,11385.705,11111111
490,12659.478,11111111
500,13124.947,11111111
510,13427.463,11111111
520,14492.251,11111111
530,14919.680,11111111
540,15087.796,11111111
550,15132.660,11111111
560,15159.609,11111111
570,15141.039,11111111
580,15195.048,11111111
590,15154.222,11111111
600,15145.746,11111111
610,15130.539,11111111
620,15145.490,11111111
630,15150.182,11111111
640,15132.860,11111111
650,15126.599,11111111
660,15129.402,11111111
670,15129.041,11111111
680,15125.472,11111111
690,15138.032,11111111
700,15152.311,11111111
710,14576.702,11111111
720,14943.366,11111111
730,15081.313,11111111
740,15116.577,11111111
750,15132.994,11111111
760,15123.104,11111111
770,15149.553,11111111
780,15152.258,11111111
790,15150.980,11111111
800,15154.116,11111111
810,15191.313,11111111
820,15163.830,11111111
830,15224.020,11111111
840,15188.381,11111111
850,15154.585,11111111
860,15149.590,11111111
870,15151.663,11111111
880,15161.190,11111111
890,15148.615,11111111
900,15155.906,11111111
910,14516.048,11111111
920,14907.727,11111111
930,15047.399,11111111
940,15099.397,11111111
950,15127.892,11111111
960,15169.643,11111111
970,15176.604,11111111
980,15151.749,11111111
990,15133.205,11111111
1000,15131.097,11111111
1010,15133.070,11111111
1020,15152.119,11111111
1030,15139.169,11111111
1040,15150.066,11111111
1050,15150.063,11111111
1060,15129.981,11111111
1070,15153.575,11111111
1080,15206.284,11111111
1090,15173.869,11111111
1100,15180.329,11111111
1110,14520.395,11111111
1120,14902.377,11111111
1130,15047.724,11111111
1140,15104.044,11111111
1150,15114.634,11111111
1160,15128.562,11111111
1170,15141.011,11111111
1180,15142.100,11111111
1190,15141.042,11111111
1200,15352.277,11111111
1210,15237.896,11111111
1220,15179.271,11111111
1230,15153.558,11111111
1240,15148.595,11111111
1250,15133.053,11111111
1260,15127.811,11111111
1270,15124.414,11111111
1280,15125.361,11111111
1290,15124.102,11111111
1300,15140.697,11111111
1310,14509.793,11111111
1320,14906.783,11111111
1330,15079.070,11111111
1340,15089.124,11111111
1350,15094.672,11111111
1360,15102.142,11111111
1370,15098.070,11111111
1380,15107.361,11111111
1390,15117.838,11111111
1400,15115.332,11111111
1410,15113.192,11111111
1420,15124.404,11111111
1430,15115.364,11111111
1440,15114.483,11111111
1450,15106.913,11111111
1460,15128.483,11111111
1470,15105.504,11111111
1480,15145.785,11111111
1490,13608.723,11111111
1500,13052.931,11111111
1510,12319.511,11111111
1520,11817.438,11111111
1530,11404.948,11111111
1540,11160.563,11111111
1550,11091.948,11111111
1560,11071.517,11111111
1570,11054.521,11111111
1580,11107.795,11111111
1590,11077.395,11111111
1600,11075.848,11111111
1610,11057.422,11111111
1620,11051.930,11111111
1630,11126.260,11111111
1640,11093.315,11111111
1650,11052.690,11111111
1660,11050.037,11111111
1670,11042.609,11111111
1680,11052.124,11111111
1690,11062.064,11111111
1700,11064.416,11111111
1710,11085.415,11111111
1720,11068.688,11111111
1730,11373.379,11111111
1740,12271.216,11111111
1750,12580.650,11111111
1760,12712.677,11111111
1770,12760.487,11111111
1780,12778.100,11111111
1790,12787.042,11111111
1800,12781.208,11111111
1810,12787.329,11111111
1820,12787.369,11111111
1830,12833.098,11111111
1840,12815.034,11111111
1850,12776.649,11111111
1860,12777.506,11111111
1870,12767.183,11111111
1880,12769.590,11111111
1890,12783.830,11111111
1900,12780.902,11111111
1910,12780.148,11111111
1920,12786.159,11111111
1930,12218.955,11111111
1940,12581.244,11111111
1950,12695.198,11111111
1960,12775.340,11111111
1970,12763.097,11111111
1980,12767.016,11111111
1990,12780.268,11111111
2000,12779.533,11111111
2010,12785.208,11111111
2020,12782.942,11111111
2030,12784.032,11111111
2040,12825.621,11111111
2050,12803.408,11111111
2060,12778.900,11111111
2070,12771.175,11111111
2080,12822.547,11111111
2090,12799.440,11111111
2100,12791.123,11111111
2110,12781.061,11111111
2120,12760.926,11111111
2130,12205.226,11111111
2140,12588.783,11111111
2150,12704.457,11111111
2160,12753.011,11111111
2170,12773.128,11111111
