Timestamp(ms),Current(uA)
0,37904.359
10,21579.395
20,16018.787
30,13981.634
40,13225.008
50,12988.448
60,12872.865
70,12827.142
80,12787.642
90,12800.938
100,12802.621
110,12805.564
120,12839.524
130,12818.229
140,12810.479
150,12932.000
160,14357.200
170,14889.650
180,15083.863
190,15138.623
200,15182.104
210,14758.102
220,15025.729
230,15138.055
240,15192.842
250,15188.094
260,15181.034
270,15182.157
280,15171.430
290,15168.872
300,15172.801
310,15172.188
320,15183.622
330,15182.841
340,15169.588
350,15167.567
360,15197.827
370,15228.729
380,15207.015
390,15178.484
400,15190.191
410,14737.388
420,15018.338
430,15121.975
440,15161.551
450,15172.687
460,15265.544
470,15209.388
480,15196.328
490,15219.387
500,15214.986
510,15204.024
520,15202.048
530,15200.649
540,15192.000
550,15207.663
560,15198.921
570,15208.995
580,15191.317
590,15180.017
600,15168.974
610,14735.758
620,15046.964
630,15127.360
640,15150.155
650,15145.774
660,15143.563
670,15145.835
680,15163.762
690,15175.674
700,15171.813
710,15168.772
720,15157.683
730,15155.021
740,15193.399
750,15178.746
760,15155.005
770,15145.844
780,15150.733
790,15156.547
800,15134.068
810,14039.074
820,13640.836
830,13492.332
840,13426.080
850,13404.121
860,13464.216
870,13649.670
880,13488.375
890,13440.670
900,13425.847
910,13416.554
920,13394.716
930,13408.490
940,13389.366
950,13393.120
960,13375.942
970,13389.165
980,13399.189
990,13423.771
1000,13417.014
1010,14259.316
1020,14822.071
1030,15040.629
1040,15110.935
1050,15144.933
1060,15146.523
1070,15164.364
1080,15165.061
1090,15165.150
1100,15169.982
1110,15156.468
1120,15197.039
1130,15151.849
1140,15141.279
1150,15279.643
1160,13749.247
1170,13134.311
1180,12921.390
1190,12820.622
1200,12539.509
1210,12421.463
1220,12626.832
1230,12716.216
1240,12764.919
1250,12795.272
1260,12773.160
1270,12769.486
1280,12773.049
1290,12775.147
1300,12751.286
1310,12746.619
1320,12750.718
1330,12745.305
1340,12733.033
1350,12745.211
1360,12756.831
1370,12793.673
1380,12789.097
1390,12759.741
1400,12508.613
1410,12386.844
1420,12617.295
1430,12697.156
1440,12724.663
1450,12727.436
1460,12721.977
1470,12722.494
1480,12733.784
1490,12773.925
1500,12770.142
1510,12742.245
1520,12732.646
1530,12729.569
1540,12720.156
1550,12727.416
1560,12715.854
1570,12742.156
1580,12749.411
1590,12738.984
1600,12479.162
1610,12375.567
1620,12646.659
1630,12685.226
1640,12716.937
1650,12729.301
1660,12709.146
1670,12729.659
1680,12762.715
1690,12763.523
1700,12759.836
1710,12742.014
1720,12734.271
1730,12717.162
1740,12756.428
1750,12743.646
1760,12744.271
1770,12744.396
1780,12741.641
1790,12728.310
1800,12467.238
1810,12362.733
1820,12579.918
1830,12658.516
1840,12675.563
1850,12699.875
1860,12737.156
1870,12915.170
1880,12764.531
1890,12735.261
1900,12704.254
1910,12721.208
1920,12711.696
1930,12702.186
1940,12691.457
1950,12709.806
1960,12697.250
1970,12702.733
1980,12710.898
1990,12739.055
2000,12540.675
2010,11549.350
2020,11183.896
2030,11062.101
2040,11002.933
2050,10991.317
2060,10975.370
2070,10973.426
2080,10966.284
2090,10997.796
2100,10977.033
2110,10978.276
2120,11020.603
2130,10984.163
2140,10988.015
2150,11114.830
2160,12515.494
2170,13034.685
2180,13221.272
2190,13304.316
2200,13334.322
2210,14157.020
2220,14739.914
2230,14961.716
2240,15084.830
2250,15114.582
2260,15075.523
2270,15107.240
2280,15109.684
2290,15085.891
2300,15080.262
2310,15099.437
2320,15071.306
2330,15067.832
2340,15086.987
2350,15100.873
2360,15097.084
2370,15139.472
2380,15116.319
2390,15108.921
2400,14868.081
2410,14721.178
2420,14966.611
2430,15059.394
2440,15078.026
2450,15090.262
2460,15084.464
2470,15105.202
2480,15108.792
2490,15142.219
2500,15135.916
2510,15139.452
2520,15123.356
2530,15118.562
2540,15088.993
2550,15087.866
2560,15104.832
2570,15112.271
2580,15104.948
2590,15110.222
2600,14883.936
2610,14748.306
2620,15002.342
2630,15070.354
2640,15097.770
2650,15092.265
2660,15092.847
2670,15097.737
2680,15107.982
2690,15101.935
2700,15111.447
2710,15108.540
2720,15106.574
2730,15111.110
2740,15137.645
2750,15129.349
2760,15109.543
2770,15118.249
2780,15111.458
2790,15116.082
2800,14902.767
2810,14740.915
2820,14967.088
2830,15058.351
2840,15092.495
2850,15103.479
2860,15189.627
2870,15312.835
2880,15179.080
2890,15131.442
2900,15118.853
2910,15145.234
2920,15111.588
2930,15122.600
2940,15110.977
2950,15104.990
2960,15105.445
2970,15111.625
2980,15120.698
2990,15139.783
3000,14923.482
3010,14775.251
3020,14970.471
3030,15050.924
3040,15067.507
3050,15068.595
3060,15058.467
3070,15075.539
3080,15094.450
3090,15091.365
3100,15095.771
3110,15099.029
3120,15147.844
3130,15114.688
3140,15103.538
3150,15235.636
3160,13682.089
3170,13072.588
3180,12849.000
3190,12774.846
3200,12576.795
3210,11589.854
3220,11197.582
3230,11089.851
3240,11047.431
3250,11027.029
3260,11010.721
3270,10996.963
3280,10996.090
3290,11002.918
3300,10998.500
3310,11049.397
3320,11021.253
3330,11003.463
3340,11005.507
3350,10979.525
3360,10989.288
3370,11010.321
3380,10987.438
3390,10995.882
3400,10999.940
3410,11769.894
3420,12366.437
3430,12599.395
3440,12684.451
3450,12693.066
3460,12710.687
3470,12730.170
3480,12729.584
3490,12761.769
3500,12749.244
3510,12733.510
3520,12731.197
3530,12736.216
3540,12716.215
3550,12724.713
3560,12725.923
3570,12724.683
3580,12725.876
3590,12725.396
3600,12569.302
3610,12355.302
3620,12637.452
3630,12700.847
3640,12707.424
3650,12723.481
3660,12717.437
3670,12724.242
3680,12713.444
3690,12729.924
3700,12743.631
3710,12740.331
3720,12723.410
3730,12719.517
3740,12747.966
3750,12736.162
3760,12725.938
3770,12714.302
3780,12720.455
3790,12722.854
3800,12570.116
3810,12348.995
3820,12588.877
3830,12670.025
3840,12698.012
3850,12709.899
3860,12803.186
3870,12938.233
3880,12805.452
3890,12761.118
3900,12748.861
3910,12733.997
3920,12731.879
3930,12735.061
3940,12717.491
3950,12710.044
3960,12713.849
3970,12716.641
3980,12735.777
3990,12762.755
4000,12589.881
4010,12356.593
4020,12587.896
4030,12669.892
4040,12706.389
4050,12711.953
4060,12725.844
